Instance,Income
111994,65506.930140547214
111995,75455.53470891628
111996,126235.83209761241
111997,62319.78304422032
111998,90872.6329171254
111999,172584.91039331927
112000,136473.81627429032
112001,188050.90043706817
112002,124762.50243583349
112003,138634.9189314189
112004,50379.21154064693
112005,107872.07456584547
112006,70227.5288418453
112007,131644.2037942602
112008,94965.58056626606
112009,97464.95466724326
112010,82675.50751119158
112011,113449.58198441754
112012,119305.23890364595
112013,112821.93093226012
112014,109067.25472696805
112015,60218.802330283965
112016,174975.27071556446
112017,125439.04532353069
112018,108958.24094823602
112019,104057.27641736114
112020,78751.69558397522
112021,136642.9519962146
112022,102294.56714727338
112023,153304.12220108608
112024,67040.3817455184
112025,125668.30298864725
112026,138973.19037526753
112027,104515.79174759427
112028,86828.5771035245
112029,35480.75060586321
112030,133346.79112115566
112031,98201.61949813273
112032,138236.52554437806
112033,92007.69113505572
112034,65277.67247543065
112035,69032.34868072272
112036,124762.50243583349
112037,75117.26326506768
112038,144381.5620719153
112039,32522.861174652877
112040,112085.26610137065
112041,141025.2792536641
112042,109067.25472696805
112043,81311.19162814469
112044,134602.09322547054
112045,135049.37844805117
112046,109176.26850570008
112047,123059.91510893802
112048,32522.861174652877
112049,91549.17580482259
112050,114983.03358938872
112051,64142.61425750033
112052,132151.61096003308
112053,187881.76471514386
112054,125100.77387968209
112055,46455.39961343058
112056,143524.6533546413
112057,45260.21945230798
112058,174118.36199829046
112059,111566.62882794526
112060,127152.86275807867
112061,157058.79840637813
112062,138525.9051526869
112063,104793.94124825059
112064,39972.09164204473
112065,116118.09180731904
112066,108728.98328311945
112067,122601.39977870489
112068,192940.63486029056
112069,104515.79174759427
112070,203347.75475889276
112071,152796.7150353132
112072,95243.73006692238
112073,92684.2340227529
112074,94048.5499057998
112075,72726.90294282252
112076,107364.66740007256
112077,178500.68925573997
112078,105650.84996552458
112079,70565.8002856939
112080,41167.27180316733
112081,134372.83556035397
112082,93142.74935298604
112083,112363.41560202699
112084,63684.0989272672
112085,130956.4307989105
112086,61583.11821333086
112087,100761.1155423022
112088,110371.44866682267
112089,146542.6647290439
112090,134312.7136171617
112091,122432.26405678058
112092,76083.18576107372
112093,91609.29774801485
112094,118049.93679933109
112095,102414.81103365791
112096,64879.27908838979
112097,85404.13927728534
112098,41167.27180316733
112099,136642.9519962146
112100,118617.46590829626
112101,37243.45987595097
112102,103380.73352966394
112103,126344.84587634445
112104,77507.62358731286
112105,181447.34857929777
112106,169457.88524018467
112107,151830.79253930715
112108,164338.8931518457
112109,87914.74348591507
112110,154040.78703197555
112111,90583.25330881657
112112,141641.70019816904
112113,145287.36262472905
112114,105650.84996552458
112115,119583.38840430227
112116,110142.1910017061
112117,164737.28653888655
112118,82277.11412415071
112119,140566.76392343096
112120,185720.66205801524
112121,117253.15002524937
112122,172355.65272820272
112123,69261.60634583927
112124,173949.22627636616
112125,132670.2482334585
112126,180263.3985258277
112127,39404.56253307959
112128,114355.3825372313
112129,94616.07901476495
112130,112303.29365883472
112131,141483.79458389722
112132,88820.54403872881
112133,120211.03945645971
112134,115381.42697642959
112135,64650.021423273225
112136,110999.0997189801
112137,71362.58705977563
112138,35082.35721882235
112139,106567.88062599083
112140,137101.46732644775
112141,97634.09038916757
112142,86719.56332479247
112143,85065.86783343676
112144,40370.4850290856
112145,90184.8599217757
112146,170532.82151492272
112147,157227.93412830244
112148,135398.87999955227
112149,41336.40752509162
112150,94567.1871792252
112151,198228.76267055378
112152,163940.49976480484
112153,83073.90089823244
112154,156322.1335754887
112155,91718.3115267469
112156,191008.7898682785
